num_num,id_task
1,0010
1,0017
1,0024
1,0026
1,0082
1,0086
1,00TM
1,0100DA
1,0100JA
1,0100PM
1,0100SSF
1,0100TCC
1,0103
1,0104
1,0106
1,0108
1,0124
1,0124FLE
1,0132
1,0203
1,0204
1,0215
1,0218
1,0219
1,0225
1,0227
1,0232
1,0234
1,0235
1,0301
1,0302
1,0306
1,0313
1,0314
1,0323
1,0326
1,0330
1,0331
1,0401
1,0403
1,0404
1,0405
1,0407
1,0408
1,0409
1,0410
1,0411
1,0414
1,0415
1,0416
1,0417
1,0418
1,0420
1,0422
1,0423
1,0424
1,0425
1,0426
1,0427
1,0431
1,0432
1,0434
1,0436
1,0442
1,0444
1,0445
1,0453
1,0461
1,0462
1,0463
1,0470
1,0471
1,0474
1,0477
1,0479
1,0480
1,0481
1,0482
1,0484
1,0485
1,0492
1,0497
1,0501
1,0503
1,0507
1,0508
1,0509
1,0510
1,0511
1,0512
1,0513
1,0514
1,0515
1,0516
1,0525
1,0531
1,0533
1,0538
1,0543
1,0544
1,0546
1,0548
1,0557
1,0559
1,0564
1,0565
1,0566
1,0567
1,0568
1,0570
1,0572
1,0574
1,0575
1,0581
1,0585
1,0601
1,0602
1,0603
1,0604
1,0605
1,0606
1,0607
1,0608
1,0611
1,0612
1,0613
1,0623
1,0628
1,0637
1,0638
1,0639
1,0641
1,0645
1,0650
1,0701
1,0702
1,0703
1,0705
1,0706
1,0710
1,0712
1,0715
1,0717
1,0719
1,0722
1,0726
1,0796
1,0797
1,0798
1,0799
1,0801
1,0802
1,0804
1,0805
1,0811
1,0812
1,0813
1,0815
1,0901
1,0903
1,0904
1,0905
1,0906
1,0907
1,0908
1,0909
1,0910
1,0911
1,0914
1,0915
1,0917
1,0918
1,0919
1,0920
1,0922
1,0923
1,0924
1,0926
1,0929
1,0931
1,0932
1,0940
1,0941
1,0953
1,0956
1,0961
1,0962
1,0963
1,0964
1,0965
1,0968
1,0969
1,0972
1,0973
1,0974
1,0976
1,0979
1,0980
1,0982
1,0983
1,0984
1,0987
1,0990
1,0991
1,0992
1,0994
1,0996
1,1003
1,1005
1,1006
1,1007
1,1008
1,1009
1,1013
1,1014
1,1015
1,1019
1,1022
1,1026
1,1027
1,1028
1,1035
1,1044
1,1047
1,1059
1,1069
1,1070
1,1071
1,1075
1,1082
1,1087
1,1090
1,1097
1,10A2
1,1101
1,1102
1,1103
1,1104
1,1105
1,1106
1,1112
1,1118
1,1121
1,1127
1,1131
1,1140
1,1149
1,1153
1,1154
1,1159
1,1160
1,1207
1,1208
1,1213
1,1214
1,1215
1,1223
1,1226
1,1229
1,1230
1,1233
1,1239
1,124A
1,1261
1,1290
1,1301
1,1302
1,1303
1,1305
1,1307
1,1308
1,1309
1,1310
1,1311
1,1314
1,1315
1,1317
1,1318
1,1319
1,1320
1,1322
1,1331
1,1332
1,1333
1,1334
1,1401
1,1402
1,1403
1,1409
1,1410
1,1501
1,1502
1,1503
1,1505
1,1507
1,1510
1,1603
1,1604
1,1605
1,1609
1,1610
1,1612
1,1614
1,1615
1,1616
1,1617
1,1620
1,1623
1,1625
1,1634
1,1636
1,1641
1,1643
1,1645
1,1658
1,1659
1,1716
1,1745
1,1804
1,1818
1,1843
1,1912
1,1929
1,1951
1,2102
1,218A
1,2310
1,235A
1,235B
1,235C
1,323A
1,323B
1,4010
1,4036
1,4038
1,4045
1,4063
1,4069
1,4073
1,40SS
1,4108
1,557T
1,609A
1,696C
1,706A
1,706B
1,9010
1,9018
1,9019
1,9031
1,924A
1,924B
1,924D
1,969A
1,969D
1,969E
1,969G
1,969L
1,969M
1,969P
1,969S
1,969Y
1,977A
1,A004
1,A005
1,A006
1,A007
1,A008
1,A010
1,A010ABE
1,A010ADE
1,A010CBM
1,A010PC
1,A010TCE
1,A012
1,A013
1,A014
1,A015
1,A016
1,A018
1,A019
1,A020
1,A022
1,A025
1,A033
1,A035
1,A036
1,A037
1,A040
1,A041
1,A042
1,A044
1,A045
1,A048
1,A04T
1,A053
1,A054
1,A058
1,A059
1,A060
1,A062
1,A064
1,A065
1,A066
1,A068
1,A072
1,A075
1,A076
1,A098
1,A102
1,A105
1,A108
1,A122
1,A124
1,A125
1,A138
1,A139
1,A140
1,A141
1,A147
1,A148
1,A152
1,A155
1,A160
1,A162
1,A163
1,A168
1,A175
1,A179
1,A204
1,A209
1,A210
1,A225
1,A245
1,A246
1,A268
1,A279
1,A286
1,A341
1,C002
1,C011
1,C050
1,C086
1,C093
1,C118
1,D005
1,D023
1,E001
1,E007
1,E008
1,E025
1,E037
1,E041
1,EG26
1,F011
1,F056
1,G002
1,G005
1,G012
1,G014
1,Q720
1,UA10
1,UB10
1,0017AOE
